raw_x,raw_y,sig_x,sig_y,,Value,Standard Error,t_Value,Prob_t,Dependency,,,,,,,,,,
-0.012,1.593787,-0.033,1.4635576588988,A1,1.46354889687318,0.00349373112878788,418.907134785996,0,0.187486997806859,,,,,,,,,,
-0.013,1.596022,-0.032978978978979,1.46355784500706,A2,1.5951734686691,0.00287243300319201,555.338790111538,0,0.213248798127964,,,,,,,,,,
-0.014,1.595184,-0.032957957957958,1.46355803506804,x0,-0.0233819998849391,1.89887514738697E-4,-123.136057244811,0,0.24369492325248,,,,,,,,,,
-0.015,1.596581,-0.0329369369369369,1.46355822916568,dx,0.00100008160398772,2.16481271163675E-4,4.6197142072008,3.9728653460358E-4,0.223766801661925,,,,,,,,,,
-0.016,1.596023,-0.0329159159159159,1.46355842738572,span,0.131624571795925,0.00467690895509294,,,,,,,,,,,,,
-0.017,1.598258,-0.0328948948948949,1.46355862981568,EC50,0.976889240910824,1.8549906069546E-4,,,,,,,,,,,,,
-0.018,1.597979,-0.0328738738738739,1.46355883654496,,,,,,,,,,,,,,,,
-0.019,1.586803,-0.0328528528528529,1.46355904766488,,,,,,,,,,,,,,,,
-0.02,1.588479,-0.0328318318318318,1.46355926326865,,,,,,,,,,,,,,,,
-0.022,1.571716,-0.0328108108108108,1.4635594834515,,,,,,,,,,,,,,,,
-0.023,1.534278,-0.0327897897897898,1.46355970831066,,,,,,,,,,,,,,,,
-0.024,1.518073,-0.0327687687687688,1.46355993794544,,,,,,,,,,,,,,,,
-0.027,1.454093,-0.0327477477477477,1.46356017245723,,,,,,,,,,,,,,,,
-0.028,1.45102,-0.0327267267267267,1.46356041194961,,,,,,,,,,,,,,,,
-0.03,1.475327,-0.0327057057057057,1.46356065652833,,,,,,,,,,,,,,,,
-0.031,1.457446,-0.0326846846846847,1.4635609063014,,,,,,,,,,,,,,,,
-0.032,1.471136,-0.0326636636636637,1.46356116137911,,,,,,,,,,,,,,,,
-0.033,1.47393,-0.0326426426426426,1.4635614218741,,,,,,,,,,,,,,,,
,,-0.0326216216216216,1.4635616879014,,,,,,,,,,,,,,,,
,,-0.0326006006006006,1.46356195957848,,,,,,,,,,,,,,,,
,,-0.0325795795795796,1.4635622370253,,,,,,,,,,,,,,,,
,,-0.0325585585585586,1.46356252036438,,,,,,,,,,,,,,,,
,,-0.0325375375375375,1.46356280972082,,,,,,,,,,,,,,,,
,,-0.0325165165165165,1.46356310522239,,,,,,,,,,,,,,,,
,,-0.0324954954954955,1.46356340699957,,,,,,,,,,,,,,,,
,,-0.0324744744744745,1.4635637151856,,,,,,,,,,,,,,,,
,,-0.0324534534534535,1.46356402991656,,,,,,,,,,,,,,,,
,,-0.0324324324324324,1.4635643513314,,,,,,,,,,,,,,,,
,,-0.0324114114114114,1.46356467957204,,,,,,,,,,,,,,,,
,,-0.0323903903903904,1.4635650147834,,,,,,,,,,,,,,,,
