,-1400,,-1200,,-1000,,-800,,-700,,-600,,-500,,-400,,-300,,-200,,-100,,-50,,-20,,-10,,0,,5,,10,,+20,,50,,+100,,200,,300,,+400,,500,,600,,700,,+800,,900,,1000,,+1200,,1400
-2,0.205412,-2,0.336959,-2,0.368938,-2,0.40275,-2,1.735711,-2,0.424535,-2,0.441887,-2,0.447094,-2,0.451396,-2,0.474546,-2,0.517012,-2,0.511139,-2,0.651429,-2,0.71349,-2,1.18728,-2,1.437755,-2,1.749645,-2,1.855692,-2,1.738623,-2,1.74478,-2,1.741931,-2,1.735012,-2,1.734444,-2,1.726235,-2,1.732699,-2,1.735711,-2,1.722032,-2,1.725597,-2,1.724175,-2,1.87782,-2,2.005057
-4,0.206013,-4,0.336412,-4,0.36995,-4,0.401387,-4,1.735286,-4,0.424035,-4,0.442912,-4,0.450501,-4,0.453027,-4,0.472111,-4,0.512872,-4,0.509131,-4,0.652774,-4,0.712182,-4,1.187996,-4,1.435479,-4,1.7502,-4,1.856293,-4,1.737342,-4,1.745273,-4,1.739845,-4,1.734923,-4,1.730688,-4,1.727734,-4,1.732519,-4,1.735286,-4,1.724567,-4,1.722299,-4,1.724512,-4,1.87763,-4,2.005264
-6,0.204413,-6,0.337048,-6,0.368788,-6,0.398364,-6,1.734079,-6,0.4268,-6,0.442223,-6,0.447701,-6,0.454245,-6,0.471713,-6,0.514279,-6,0.509067,-6,0.651144,-6,0.712225,-6,1.188785,-6,1.437959,-6,1.750778,-6,1.857648,-6,1.736228,-6,1.745111,-6,1.742598,-6,1.736616,-6,1.73193,-6,1.728524,-6,1.731135,-6,1.734079,-6,1.723108,-6,1.601369,-6,1.722682,-6,1.876266,-6,2.00562
-8,0.204518,-8,0.333399,-8,0.370487,-8,0.400124,-8,1.733393,-8,0.424152,-8,0.443486,-8,0.446574,-8,0.454407,-8,0.471274,-8,0.514166,-8,0.513716,-8,0.651974,-8,0.714199,-8,1.188714,-8,1.438416,-8,1.750524,-8,1.856156,-8,1.740409,-8,1.745487,-8,1.739698,-8,1.737971,-8,1.734293,-8,1.726758,-8,1.729408,-8,1.733393,-8,1.726832,-8,1.724056,-8,1.722426,-8,1.874002,-8,2.005875
-10,0.205721,-10,0.334979,-10,0.369634,-10,0.400411,-10,1.733079,-10,0.425538,-10,0.441236,-10,0.448295,-10,0.454899,-10,0.470119,-10,0.512697,-10,0.512793,-10,0.650719,-10,0.710695,-10,1.18805,-12,1.443275,-10,1.751189,-10,1.853976,-10,1.73725,-10,1.745729,-10,1.739889,-10,1.737661,-10,1.73315,-10,1.730834,-10,1.731195,-10,1.733079,-10,1.72504,-10,1.723174,-10,1.724771,-10,1.876464,-10,2.009711
-12,0.218871,-12,0.367569,-12,0.369448,-12,0.396292,-12,1.731465,-12,0.427469,-12,0.443454,-12,0.449134,-12,0.452355,-12,0.469524,-12,0.513464,-12,0.514049,-12,0.653505,-12,0.710874,-12,1.187223,-14,1.440353,-12,1.752,-12,1.856545,-12,1.735159,-12,1.747518,-12,1.739197,-12,1.738996,-12,1.732733,-12,1.727715,-12,1.728657,-12,1.731465,-12,1.724189,-12,1.724053,-12,1.725591,-12,1.841759,-12,2.002009
-14,0.207318,-14,0.54739,-14,0.630669,-14,0.400465,-14,1.730131,-14,0.427819,-14,0.443751,-14,0.449435,-14,0.455162,-14,0.47135,-14,0.513124,-14,0.513572,-14,0.65287,-14,0.710477,-14,1.186143,-16,1.43982,-14,1.749336,-14,1.859177,-14,1.734817,-14,1.744693,-14,1.740367,-14,1.73676,-14,1.733101,-14,1.730149,-14,1.735038,-14,1.730131,-14,1.722477,-14,1.568775,-14,1.354019,-14,1.655377,-14,2.005809
-16,0.208619,-16,0.50389,-16,1.380483,-16,1.508461,-16,0.677212,-16,0.934288,-16,0.446209,-16,0.456968,-16,0.463724,-16,0.477381,-16,0.524667,-16,0.5197,-16,0.658285,-16,0.711852,-16,1.193091,-18,1.439573,-16,1.749553,-16,1.861493,-16,1.734011,-16,1.739898,-16,1.738523,-16,1.728051,-16,1.725628,-16,1.725633,-16,1.093684,-16,0.677212,-16,0.624263,-16,0.63547,-16,0.79715,-16,1.63071,-16,2.005955
-18,0.208064,-18,0.426942,-18,1.329277,-18,1.602556,-18,0.527768,-18,1.618889,-18,1.610366,-18,1.550368,-18,0.838926,-18,1.406898,-18,1.391077,-18,0.656012,-18,0.666851,-18,0.72093,-18,1.191576,-20,1.371587,-18,1.741756,-18,1.857775,-18,1.724309,-18,1.523894,-18,1.353386,-18,1.243344,-18,0.626092,-18,0.56897,-18,0.529683,-18,0.527768,-18,0.526143,-18,0.593958,-18,0.905936,-18,1.812783,-18,2.007815
