raw_x,raw_y,positive,sig_x,sig_y,,Value,Standard Error,t_Value,Prob_t,Dependency,0~1,"Normalize to [0, 1] of A","Normalize to [0, 1] of C",-4~4,adj4_x,adj4_y,sig4_x,sig4_y,,Value,Standard Error,t_Value,Prob_t,Dependency,-6~6,adj6_x,adj6_y,sig6_x,sig6_y,,Value,Standard Error,t_Value,Prob_t,Dependency,,,,,
-0.012,-1.350395,1.350395,-0.032,1.23060983155809,A1,1.22614054037879,0.00701495969445032,174.789392068613,1.33226762955019E-15,0.846898140242145,,1,1,,4,4,-4,-4.20565790855938,A1,-4.51181830377422,0.480546633975858,-9.38892915854008,1.35636345286461E-5,0.846898140242146,,6,6,-6,-6.30848686283907,A1,-6.76772745566133,0.720819950963785,-9.3889291585401,1.35636345286461E-5,0.846898140242146,,,,,
-0.014,-1.347042,1.347042,-0.03197997997998,1.23064143994605,A2,1.35399767601923,0.00542287358447716,249.682692197549,0,0.751678706227576,,0.9,0.971288629338175,,3.2,3.7703090347054,-3.99199199199199,-4.20349263532863,A2,4.24679455189413,0.371483766265786,11.4319788306864,3.09963446110118E-6,0.751678706227576,,4.8,5.6554635520581,-5.98798798798799,-6.30523895299293,A2,6.37019182784119,0.557225649398678,11.4319788306864,3.09963446110118E-6,0.751678706227576,,,,,
-0.016,-1.346484,1.346484,-0.03195995995996,1.2306732636675,x0,-0.0229047693184857,4.85407420141194E-4,-47.1866897127845,4.49835724225522E-11,0.726718119904176,,0.8,0.966510536636326,,2.4,3.7320842930906,-3.98398398398398,-4.20131261108216,x0,-0.361907727394289,0.194162968056478,-1.86393796415915,0.0993279559240956,0.726718119904177,,3.6,5.59812643963591,-5.97597597597598,-6.30196891662323,x0,-0.542861591091433,0.291244452084716,-1.86393796415915,0.0993279559240952,0.726718119904176,,,,,
-0.018,-1.341734,1.341734,-0.0319399399399399,1.23070530407291,dx,0.00274109371810886,4.95160074797577E-4,5.53577288966488,5.50084204435031E-4,0.809042372143548,,0.7,0.925836808439584,,1.6,3.40669446751668,-3.97597597597598,-4.19911774330818,dx,1.09643748724354,0.198064029919031,5.53577288966487,5.50084204435031E-4,0.809042372143548,,2.4,5.11004170127501,-5.96396396396396,-6.29867661496226,dx,1.64465623086531,0.297096044878546,5.53577288966487,5.50084204435031E-4,0.809042372143548,,,,,
-0.02,-1.316589,1.316589,-0.0319199199199199,1.23073756251956,span,0.12785713564044,0.0107042907515404,,,,,0.6,0.710522935701258,,0.8,1.68418348561007,-3.96796796796797,-4.19690793902797,span,8.75861285566835,0.733277325930516,,,,,1.2,2.5262752284151,-5.95195195195195,-6.29536190854195,span,13.1379192835025,1.09991598920543,,,,,,,,
-0.022,-1.298708,1.298708,-0.0318998998998999,1.23077004037159,EC50,0.977355553577105,4.74415632125795E-4,,,,,0.5,0.557409896988432,,8.88178419700125E-16,0.459279175907453,-3.95995995995996,-4.19468310479525,EC50,0.696346618594409,0.135204726748803,,,,,1.77635683940025E-15,0.688918763861179,-5.93993993993994,-6.29202465719287,EC50,0.581083048868528,0.169237214076414,,,,,,,,
-0.024,-1.27524,1.27524,-0.0318798798798799,1.23080273899993,,,,,,,,0.4,0.356455991026091,,-0.8,-1.14835207179127,-3.95195195195195,-4.19244314669544,,,,,,,,-1.2,-1.72252810768691,-5.92792792792793,-6.28866472004316,,,,,,,,,,,
-0.028,-1.238082,1.238082,-0.0318598598598599,1.2308356597824,,,,,,,,0.2,0.0382761189556697,,-2.4,-3.69379104835464,-3.94394394394394,-4.19018797034509,,,,,,,,-3.6,-5.54068657253196,-5.91591591591592,-6.28528195551763,,,,,,,,,,,
-0.032,-1.233612,1.233612,-0.0318398398398398,1.23086880410364,,,,,,,,0,0,,-4,-4,-3.93593593593594,-4.18791748089119,,,,,,,,-6,-6,-5.9039039039039,-6.28187622133678,,,,,,,,,,,
-0.03,-1.234035,1.234035,-0.0318198198198198,1.23090217335516,,,,,,,,0.1,0.00362210253204715,,-3.2,-3.97102317974362,-3.92792792792793,-4.18563158301064,,,,,,,,-4.8,-5.95653476961543,-5.89189189189189,-6.27844737451595,,,,,,,,,,,
-0.028,-1.23892,1.23892,-0.0317997997997998,1.23093576893535,,,,,,,,0.2,0.0454518208985904,,-2.4,-3.63638543281128,-3.91991991991992,-4.18333018090966,,,,,,,,-3.6,-5.45457814921692,-5.87987987987988,-6.27499527136449,,,,,,,,,,,
-0.026,-1.269094,1.269094,-0.0317797797797798,1.23096959224948,,,,,,,,0.3,0.303828468184582,,-1.6,-1.56937225452335,-3.91191191191191,-4.18101317832329,,,,,,,,-2.4,-2.35405838178502,-5.86786786786787,-6.27151976748493,,,,,,,,,,,
--,--,--,-0.0317597597597598,1.2310036447097,,,,,,,,--,--,,--,--,-3.9039039039039,-4.17868047851485,,,,,,,,--,--,-5.85585585585586,-6.26802071777226,,,,,,,,,,,
--,--,--,-0.0317397397397397,1.23103792773504,,,,,,,,--,--,,--,--,-3.8958958958959,-4.17633198427551,,,,,,,,--,--,-5.84384384384384,-6.26449797641325,,,,,,,,,,,
--,--,--,-0.0317197197197197,1.23107244275146,,,,,,,,--,--,,--,--,-3.88788788788789,-4.17396759792384,,,,,,,,--,--,-5.83183183183183,-6.26095139688575,,,,,,,,,,,
--,--,--,-0.0316996996996997,1.23110719119179,,,,,,,,--,--,,--,--,-3.87987987987988,-4.17158722130541,,,,,,,,--,--,-5.81981981981982,-6.25738083195811,,,,,,,,,,,
