raw_x,raw_y,sig_x,sig_y,,Value,Standard Error,t_Value,Prob_t,Dependency,0~1,"Normalize to [0, 1] of A","Normalize to [0, 1] of B",-4~4,adj4_x,adj4_y,sig4_x,sig4_y,,Value,Standard Error,t_Value,Prob_t,Dependency,-6~6,adj6_x,adj6_y,sig6_x,sig6_y,,Value,Standard Error,t_Value,Prob_t,Dependency,,,,,,,,,,,,,,,,,,
-0.004,1.63765,-0.034,1.36957124062637,A1,1.36666099663769,0.00912995240190585,149.689827118092,0,0.642599065459918,,1,0.994703156873005,,4,3.95762525498404,-4,-4.17392025156791,A1,-4.26219573256613,0.276935866169388,-15.3905515797624,1.00496411192808E-9,0.642599065459918,,6,5.93643788247606,-6,-6.26088037735186,A1,-6.3932935988492,0.415403799254081,-15.3905515797624,1.00496411192808E-9,0.642599065459916,,,,,,,,,,,,,,,,,,
-0.006,1.638768,-0.03396996996997,1.36962382574064,A2,1.63453079734895,0.00369363156640915,442.526756651584,0,0.221840999812804,,0.933333333333333,0.998942148008281,,3.46666666666667,3.99153718406625,-3.99199199199199,-4.17232520446078,A2,3.86301149908479,0.112037720693986,34.4795616615232,3.64153152077051E-14,0.221840999812804,,5.2,5.98730577609937,-5.98798798798799,-6.25848780669116,A2,5.79451724862719,0.168056581040979,34.4795616615232,3.64153152077051E-14,0.221840999812804,,,,,,,,,,,,,,,,,,
-0.008,1.639047,-0.0339399399399399,1.36967735019701,x0,-0.0265176986129898,2.25133844590253E-4,-117.786371308376,0,0.510448451576783,,0.866666666666667,1,,2.93333333333333,4,-3.98398398398398,-4.17070166459625,x0,-2.0047196301306,0.0600356918907339,-33.3921300312359,5.48450174164827E-14,0.510448451576782,,4.4,6,-5.97597597597598,-6.25605249689437,x0,-3.0070794451959,0.0900535378361008,-33.3921300312359,5.48450174164827E-14,0.510448451576781,,,,,,,,,,,,,,,,,,
-0.01,1.639047,-0.0339099099099099,1.36973183038097,dx,0.00165855398393284,1.9616677793411E-4,8.45481585312029,1.214434454333E-6,0.449995131057475,,0.8,1,,2.4,4,-3.97597597597598,-4.16904913495847,dx,0.442281062382092,0.0523111407824292,8.45481585312032,1.214434454333E-6,0.449995131057475,,3.6,6,-5.96396396396396,-6.25357370243771,dx,0.663421593573137,0.0784667111736438,8.45481585312032,1.214434454333E-6,0.449995131057472,,,,,,,,,,,,,,,,,,
-0.012,1.63793,-0.0338798798798799,1.36978728294949,span,0.26786980071126,0.0102974322975666,,,,,0.733333333333333,0.995764800448924,,1.86666666666667,3.96611840359139,-3.96796796796797,-4.16736711029755,span,8.12520723165093,0.312348652776289,,,,,2.8,5.94917760538709,-5.95195195195195,-6.25105066544633,span,12.1878108474764,0.468522978947059,,,,,,,,,,,,,,,,,,,,,
-0.014,1.63765,-0.0338498498498499,1.36984372483493,EC50,0.97383080822842,2.19242268962567E-4,,,,,0.666666666666667,0.994703156873005,,1.33333333333333,3.95762525498404,-3.95995995995996,-4.16565507700911,EC50,0.134698055678156,0.0080866909704518,,,,,2,5.93643788247606,-5.93993993993994,-6.24848261551367,EC50,0.049435848234617,0.00445187301799187,,,,,,,,,,,,,,,,,,,,,
-0.016,1.638209,-0.0338198198198198,1.36990117324913,,,,,,,,0.6,0.996822652440643,,0.8,3.97458121952515,-3.95195195195195,-4.16391251301269,,,,,,,,1.2,5.96187182928772,-5.92792792792793,-6.24586876951903,,,,,,,,,,,,,,,,,,,,,,,,
-0.018,1.633739,-0.0337897897897898,1.36995964568737,,,,,,,,0.533333333333333,0.979874271067938,,0.266666666666668,3.8389941685435,-3.94394394394394,-4.16213888762897,,,,,,,,0.400000000000001,5.75849125281526,-5.91591591591592,-6.24320833144345,,,,,,,,,,,,,,,,,,,,,,,,
-0.02,1.606079,-0.0337597597597598,1.37001915993254,,,,,,,,0.466666666666667,0.87499905210395,,-0.266666666666667,2.9999924168316,-3.93593593593594,-4.16033366145595,,,,,,,,-0.4,4.49998862524741,-5.9039039039039,-6.24050049218392,,,,,,,,,,,,,,,,,,,,,,,,
-0.022,1.609711,-0.0337297297297297,1.37007973405918,,,,,,,,0.4,0.888770085917298,,-0.799999999999999,3.11016068733838,-3.92792792792793,-4.15849628624389,,,,,,,,-1.2,4.66524103100757,-5.89189189189189,-6.23774442936583,,,,,,,,,,,,,,,,,,,,,,,,
-0.024,1.584007,-0.0336996996996997,1.37014138643772,,,,,,,,0.333333333333333,0.791311205647944,,-1.33333333333333,2.33048964518355,-3.91991991991992,-4.15662620476926,,,,,,,,-2,3.49573446777533,-5.87987987987988,-6.23493930715389,,,,,,,,,,,,,,,,,,,,,,,,
-0.026,1.531483,-0.0336696696696697,1.37020413573859,,,,,,,,0.266666666666667,0.592162037142359,,-1.86666666666667,0.73729629713887,-3.91191191191191,-4.15472285070754,,,,,,,,-2.8,1.10594444570831,-5.86786786786787,-6.23208427606131,,,,,,,,,,,,,,,,,,,,,,,,
-0.028,1.456327,-0.0336396396396396,1.3702680009365,,,,,,,,0.2,0.30720173502893,,-2.4,-1.54238611976856,-3.9039039039039,-4.15278564850501,,,,,,,,-3.6,-2.31357917965284,-5.85585585585586,-6.22917847275751,,,,,,,,,,,,,,,,,,,,,,,,
-0.034,1.381731,-0.0336096096096096,1.3703330013147,,,,,,,,0,0.0243647200673387,,-4,-3.80508223946129,-3.8958958958959,-4.15081401324944,,,,,,,,-6,-5.70762335919194,-5.84384384384384,-6.22622101987416,,,,,,,,,,,,,,,,,,,,,,,,
